UNIPROT,Category of binding
TSSC1,Ambiguous
HDAC3,Ambiguous
ILF3,Ambiguous
SMCA4,Ambiguous
LYRM4,Ambiguous
STRBP,Ambiguous
ORC4,Ambiguous
WIPI4,Ambiguous
LIMA1,Ambiguous
RM28,Ambiguous
ARID2,Ambiguous
RP25L,Ambiguous
SRSF2,Ambiguous
PNO1,Ambiguous
TIA1,Ambiguous
KIF14,Ambiguous
ADAD1,Ambiguous
TTC26,Ambiguous
SHOC2,Ambiguous
TSR3,Ambiguous
RPC2,Ambiguous
RPC8,Ambiguous
PRP31,Ambiguous
RPC3,Ambiguous
LRMP,Ambiguous
MRT4,Ambiguous
ARHGA,Ambiguous
TMOD3,Ambiguous
PELO,Ambiguous
AP2A1,Ambiguous
OGFR,Ambiguous
PDLI5,Ambiguous
HNRCL,Ambiguous
TR112,Ambiguous
RBM39,Ambiguous
NAA20,Ambiguous
GLU2B,Ambiguous
TBCD1,Ambiguous
ANR49,Ambiguous
KI13B,Ambiguous
NMT2,Ambiguous
GLCI1,Ambiguous
ACACB,Ambiguous
TT30B,Ambiguous
CCNH,Ambiguous
AAR2,Ambiguous
SWP70,Ambiguous
DHX9,Ambiguous
SF3B4,Ambiguous
TPPC9,Ambiguous
DCC1,Ambiguous
RANB3,CRM1 cofactor
SUMO1,NPC
RAE1L,NPC
RANG,CRM1 cofactor
IMA1,NTR
XPO2,NTR
IMB1,NTR
IMA7,NTR
IMA4,NTR
IPO5,NTR
NUP62,NUP
NUP88,NUP
NUP54,NUP
NUPL1,NUP
NU214,NUP
GLE1,NUP
RBP2,NUP
NUP98,NUP
NUP37,NUP
NU107,NUP
NU133,NUP
NU160,NUP
NU205,NUP
SEH1,NUP
NUP85,NUP
NUP43,NUP
NUP93,NUP
NU155,NUP
DOCK7,Ambiguous
NPAT,Ambiguous
TTF2,Ambiguous
WDR33,Ambiguous
ARIP4,Ambiguous
MCM9,Ambiguous
PEPL,Ambiguous
SCYL2,Ambiguous
ARI1A,Ambiguous
ZBT21,Ambiguous
ATX2L,Ambiguous
TACC3,Ambiguous
DAAF1,Ambiguous
COM1,Ambiguous
RBM44,Ambiguous
IFT81,Ambiguous
DDX54,Ambiguous
CAYP2,Ambiguous
PKH4B,Ambiguous
SGF29,Ambiguous
ATD2B,Ambiguous
ACADV,Ambiguous
KAT7,Ambiguous
SMC5,Ambiguous
KIF1B,Ambiguous
SP130,Ambiguous
DUS11,Ambiguous
ARAP3,Ambiguous
NPA1P,Ambiguous
CABIN,Ambiguous
LIPB1,Ambiguous
CPEB1,Ambiguous
MOV10,Ambiguous
CASC5,Ambiguous
CTTB2,Ambiguous
HP1B3,Ambiguous
TEP1,Ambiguous
YLPM1,Ambiguous
TTI2,Ambiguous
SCAFB,Ambiguous
CDK13,Ambiguous
TSNA1,Ambiguous
CSTF2,Ambiguous
UTP15,Ambiguous
INTU,Ambiguous
CHD1,Ambiguous
EVI5,Ambiguous
DDX24,Ambiguous
CPSF3,Ambiguous
MYCB2,Ambiguous
PPRC1,Ambiguous
PWP2,Ambiguous
VIR,Ambiguous
DEN1A,Ambiguous
SYMPK,Ambiguous
CPSF1,Ambiguous
NPHP4,Ambiguous
NCOR2,Ambiguous
TUT7,Ambiguous
KIF17,Ambiguous
EDRF1,Ambiguous
YTDC2,Ambiguous
MIB1,Ambiguous
KANL3,Ambiguous
RTEL1,Ambiguous
ANKL2,Ambiguous
NOL6,Ambiguous
F208A,Ambiguous
GON4L,Ambiguous
PRC2B,Ambiguous
TTK,Ambiguous
TR150,Ambiguous
NCOR1,Ambiguous
BMS1,Ambiguous
RRP12,Ambiguous
ZN318,Ambiguous
NPHP1,Ambiguous
AMRA1,Ambiguous
MYPT1,Ambiguous
PNKP,Ambiguous
DDX3X,Ambiguous
SUMO2,Ambiguous
NUMA1,Ambiguous
TIF1A,Ambiguous
GRDN,Ambiguous
RHG32,Ambiguous
GSE1,Ambiguous
RTF1,Ambiguous
KIF27,Ambiguous
DHX37,Ambiguous
DHX30,Ambiguous
AHNK,Ambiguous
EPS15,Ambiguous
F92A1,Ambiguous
UBP19,Ambiguous
DDX28,Ambiguous
ULK4,Ambiguous
ATG2A,Ambiguous
KRIT1,Ambiguous
FP100,Ambiguous
MY18A,Ambiguous
RIOK2,Ambiguous
UBN2,Ambiguous
DDX21,Ambiguous
DEN4B,Ambiguous
ZC3H1,Ambiguous
DOCK5,Ambiguous
F91A1,Ambiguous
NOL8,Ambiguous
BAZ1B,Ambiguous
SHRM2,Ambiguous
PTN12,Ambiguous
RICTR,Ambiguous
TDR15,Ambiguous
DPOLZ,Ambiguous
ADNP,Ambiguous
PHRF1,Ambiguous
FOCAD,Ambiguous
HEAT1,Ambiguous
IVD,Ambiguous
PB1,Ambiguous
CAMP1,Ambiguous
SUMO3,Ambiguous
NDUS3,Ambiguous
TF3C5,Ambiguous
TAF1,Ambiguous
WTIP,Ambiguous
BIRC6,Ambiguous
UBR3,Ambiguous
RPA1,Ambiguous
SIR5,Ambiguous
SAMP,Ambiguous
PACS2,Ambiguous
DEPD5,Ambiguous
PAR3L,Ambiguous
FUS,Ambiguous
GPTC8,Ambiguous
PELP1,Ambiguous
CPT2,Ambiguous
PRD15,Ambiguous
EXOC5,Ambiguous
PCF11,Ambiguous
PHF10,Ambiguous
MA7D1,Ambiguous
EXOC8,Ambiguous
DHX36,Ambiguous
SV421,Ambiguous
PCNT,Ambiguous
ACAD9,Ambiguous
DIAP1,Ambiguous
MYO1E,Ambiguous
ZHX3,Ambiguous
RM46,Ambiguous
NBN,Ambiguous
STRN,Ambiguous
URB2,Ambiguous
EVI5L,Ambiguous
DDB1,Ambiguous
ELP1,Ambiguous
RPC1,Ambiguous
PTBP3,Ambiguous
DDX20,Ambiguous
SMRC1,Ambiguous
GEMI4,Ambiguous
SND1,Ambiguous
NXN,Ambiguous
ANM9,Ambiguous
CLPX,Ambiguous
EF2,Ambiguous
INADL,Ambiguous
IQGA3,Ambiguous
WRN,Ambiguous
ABCE1,Ambiguous
DNJA1,Ambiguous
GEMI2,Ambiguous
PP1G,Ambiguous
RAD50,Ambiguous
RPC7,Ambiguous
RBM25,Ambiguous
TAF9,Ambiguous
RFC1,Ambiguous
TRIM2,Ambiguous
MED17,Ambiguous
SMHD1,Ambiguous
H2B1J,Ambiguous
CWC15,Ambiguous
GEMI5,Ambiguous
CCDC9,Ambiguous
CD11B,Ambiguous
MRCKA,Ambiguous
KIFA3,Ambiguous
EXOC7,Ambiguous
RNF17,Ambiguous
NMT1,Ambiguous
SRSF7,Ambiguous
ELOC,Ambiguous
K0020,Ambiguous
LMBL3,Ambiguous
RIF1,Ambiguous
EIF2A,Ambiguous
SRSF4,Ambiguous
WASF2,Ambiguous
RAB3I,Ambiguous
OSB11,Ambiguous
TPC12,Ambiguous
KIF3A,Ambiguous
CD2B2,Ambiguous
RS27A,Ambiguous
DDX1,Ambiguous
NCDN,Ambiguous
DCTN4,Ambiguous
ANXA2,Ambiguous
RCC1,Ambiguous
EXOS3,Ambiguous
DPTOR,Ambiguous
TF2B,Ambiguous
HEAT2,Ambiguous
LUC7L,Ambiguous
MBB1A,Ambiguous
CIR1A,Ambiguous
CHFR,Ambiguous
PEPL1,Ambiguous
IF4E3,Ambiguous
KLC4,Ambiguous
RFC5,Ambiguous
CWC27,Ambiguous
RPC6,Ambiguous
BRAF,Ambiguous
RM11,Ambiguous
DP13B,Ambiguous
PCMD2,Ambiguous
TIPRL,Ambiguous
GEMI7,Ambiguous
PPIL4,Ambiguous
VPS51,Ambiguous
SPAG5,Ambiguous
WDR26,Ambiguous
ARMC8,Ambiguous
SNX5,Ambiguous
HSDL2,Ambiguous
SMC4,Ambiguous
DNJA2,Ambiguous
ACBD6,Ambiguous
HEAT6,Ambiguous
TPGS2,Ambiguous
SAS6,Ambiguous
EXOC1,Ambiguous
SRC,Ambiguous
IF4A1,Ambiguous
SMD3,Ambiguous
ARP5L,Ambiguous
RM23,Ambiguous
YBOX1,Ambiguous
PTBP1,Ambiguous
RM03,Ambiguous
TADBP,Ambiguous
D39U1,Ambiguous
VPS52,Ambiguous
PHOCN,Ambiguous
EXOC4,Ambiguous
DLGP5,Ambiguous
TATD2,Ambiguous
IF5A1,Ambiguous
ELAV2,Ambiguous
EPAB2,Ambiguous
ECHB,Ambiguous
CSK2B,Ambiguous
DDX43,Ambiguous
SNR40,Ambiguous
PAIP1,Ambiguous
ETAA1,Ambiguous
SNPC4,Ambiguous
LC7L2,Ambiguous
PTN23,Ambiguous
U520,Ambiguous
HDAC2,Ambiguous
ARP10,Ambiguous
ELP2,Ambiguous
VP37B,Ambiguous
RM24,Ambiguous
ESRP1,Ambiguous
SF3B2,Ambiguous
PCID2,Ambiguous
SPT6H,Ambiguous
EXOC3,Ambiguous
HIRP3,Ambiguous
AN13A,Ambiguous
STRP1,Ambiguous
TTI1,Ambiguous
CSK21,Ambiguous
PCTL,Ambiguous
ELAV1,Ambiguous
RM02,Ambiguous
CUL4A,Ambiguous
SKIV2,Ambiguous
A16L1,Ambiguous
R113A,Ambiguous
TF3A,Ambiguous
YBOX2,Ambiguous
ARP3,Ambiguous
CSK22,Ambiguous
LRC40,Ambiguous
PDLI1,Ambiguous
PRP8,Ambiguous
SRSF5,Ambiguous
DNJB1,Ambiguous
ARH,Ambiguous
EXOS6,Ambiguous
CAF1A,Ambiguous
TAB1,Ambiguous
BOP1,Ambiguous
ERCC5,Ambiguous
DESP,Ambiguous
ELMO1,Ambiguous
RN213,Ambiguous
ATG2B,Ambiguous
ARPC2,Ambiguous
U5S1,Ambiguous
C1TC,Ambiguous
PURB,Ambiguous
PURA,Ambiguous
DCTN3,Ambiguous
HTRA2,Ambiguous
TRM2A,Ambiguous
RM45,Ambiguous
VPS28,Ambiguous
KIF3B,Ambiguous
DDX46,Ambiguous
RM39,Ambiguous
GOGA3,Ambiguous
SMCA5,Ambiguous
PP4R2,Ambiguous
CP080,Ambiguous
ROCK2,Ambiguous
AGAL,Ambiguous
NADAP,Ambiguous
ECHA,Ambiguous
SF3B1,Ambiguous
SSRP1,Ambiguous
CBX3,Ambiguous
IF172,Ambiguous
ARPC5,Ambiguous
ACADS,Ambiguous
BZW1,Ambiguous
PUR1,Ambiguous
RM17,Ambiguous
ABI2,Ambiguous
VIGLN,Ambiguous
TBA4A,Ambiguous
CRBN,Ambiguous
SF3B3,Ambiguous
S23IP,Ambiguous
PFKAM,Ambiguous
KTNA1,Ambiguous
OTUD4,Ambiguous
MP2K1,Ambiguous
OVCH1,Ambiguous
DCTN6,Ambiguous
P66A,Ambiguous
TTC37,Ambiguous
DNJC2,Ambiguous
T2FB,Ambiguous
IFT52,Ambiguous
ANS1A,Ambiguous
TBA1A,Ambiguous
ROA1,Ambiguous
OXSR1,Ambiguous
TRBP2,Ambiguous
ATG5,Ambiguous
VP33B,Ambiguous
WBS16,Ambiguous
RTCA,Ambiguous
RBM24,Ambiguous
ELOB,Ambiguous
RM13,Ambiguous
MBD3,Ambiguous
UBR2,Ambiguous
ARP2,Ambiguous
HS105,Ambiguous
ARPC4,Ambiguous
DPOLA,Ambiguous
DAAF3,Ambiguous
RM15,Ambiguous
DJC13,Ambiguous
CHSP1,Ambiguous
PP1B,Ambiguous
RT30,Ambiguous
NELFB,Ambiguous
SRSF6,Ambiguous
SYNJ1,Ambiguous
IF4G1,Ambiguous
E41L3,Ambiguous
IFT88,Ambiguous
SNX1,Ambiguous
ANR28,Ambiguous
MGN,Ambiguous
TBB4B,Ambiguous
GRSF1,Ambiguous
GLYG,Ambiguous
TDRD7,Ambiguous
NIPS1,Ambiguous
ORC3,Ambiguous
STK31,Ambiguous
BTF3,Ambiguous
RBBP4,Ambiguous
EXOS9,Ambiguous
BAG6,Ambiguous
CHD4,Ambiguous
PI3R4,Ambiguous
RUXF,Ambiguous
SVIL,Ambiguous
TBA1C,Ambiguous
NUD16,Ambiguous
MCES,Ambiguous
CING,Ambiguous
EXC6B,Ambiguous
DCTN2,Ambiguous
HCFC1,Ambiguous
CATA,Ambiguous
L2HDH,Ambiguous
DPOA2,Ambiguous
TPPC5,Ambiguous
POP1,Ambiguous
PRKRA,Ambiguous
RM09,Ambiguous
ARC1A,Ambiguous
SF3A3,Ambiguous
RM44,Ambiguous
DICER,Ambiguous
RM01,Ambiguous
SNX6,Ambiguous
ETFB,Ambiguous
ATPA,Ambiguous
ROA2,Ambiguous
NUCL,Ambiguous
ACTZ,Ambiguous
GELS,Ambiguous
2AAA,Ambiguous
PP1A,Ambiguous
ARPC3,Ambiguous
SP16H,Ambiguous
PUF60,Ambiguous
RBP56,Ambiguous
CJ076,Ambiguous
CDC37,Ambiguous
CB39L,Ambiguous
CATD,Ambiguous
DC1L1,Ambiguous
TBB2B,Ambiguous
RM10,Ambiguous
MECR,Ambiguous
LTN1,Ambiguous
2ABA,Ambiguous
2ABD,Ambiguous
HEAT3,Ambiguous
PRCC,Ambiguous
CIRBP,Ambiguous
IFT22,Ambiguous
EXOC2,Ambiguous
COR1C,Ambiguous
H4,Ambiguous
PP2AB,Ambiguous
UBP10,Ambiguous
MST4,Ambiguous
CRNL1,Ambiguous
K1468,Ambiguous
TBB3,Ambiguous
ALKB3,Ambiguous
TPC13,Ambiguous
FHOD3,Ambiguous
EXOS7,Ambiguous
GOGA2,Ambiguous
TRM6,Ambiguous
HNRDL,Ambiguous
PPIL3,Ambiguous
MTA2,Ambiguous
EXOS8,Ambiguous
LONM,Ambiguous
CTF18,Ambiguous
MYOF,Ambiguous
EF1A2,Ambiguous
RBPS2,Ambiguous
ROA3,Ambiguous
KIF4A,Ambiguous
G3BP1,Ambiguous
PPM1B,Ambiguous
CHM2A,Ambiguous
AAKG2,Ambiguous
LIS1,Ambiguous
ARHG1,Ambiguous
MAEA,Ambiguous
PFD2,Ambiguous
DNA2,Ambiguous
ROA0,Ambiguous
VAT1,Ambiguous
DC1I2,Ambiguous
DD19A,Ambiguous
CACP,Ambiguous
ROAA,Ambiguous
ODB2,Ambiguous
RASF2,Ambiguous
P4R3A,Ambiguous
FERM2,Ambiguous
H1FOO,Ambiguous
BAZ1A,Ambiguous
CLIP1,Ambiguous
ATR,Ambiguous
RM22,Ambiguous
AAMP,Ambiguous
HNRPL,Ambiguous
PHLP,Ambiguous
HNRH1,Ambiguous
NEB1,Ambiguous
DLRB1,Ambiguous
RRP44,Ambiguous
SMRCD,Ambiguous
DEOC,Ambiguous
CIAO1,Ambiguous
SART3,Ambiguous
NIPS2,Ambiguous
HSP7E,Ambiguous
CG025,Ambiguous
KCC2D,Ambiguous
ASNA,Ambiguous
SK2L2,Ambiguous
SCFD2,Ambiguous
HSP7C,Ambiguous
MOES,Ambiguous
ANT3,Ambiguous
SIR4,Ambiguous
NEK3,Ambiguous
SKA3,Ambiguous
ATPO,Ambiguous
PFKAP,Ambiguous
HS90B,Ambiguous
F1142,Ambiguous
FIBG,Ambiguous
PPIH,Ambiguous
PPM1G,Ambiguous
CASPA,Ambiguous
NF1,Ambiguous
SYAC,Ambiguous
KCAB2,Ambiguous
1433E,Ambiguous
PRPS2,Ambiguous
MD1L1,Ambiguous
C19L1,Ambiguous
VPS45,Ambiguous
SYTC2,Ambiguous
PRPS1,Ambiguous
AN32B,Ambiguous
MSH6,Ambiguous
NPS3A,Ambiguous
SCFD1,Ambiguous
PTBP2,Ambiguous
TOP1M,Ambiguous
SNX30,Ambiguous
ACTB,Ambiguous
CAZA1,Ambiguous
ORC2,Ambiguous
RPR1A,Ambiguous
IF6,Ambiguous
DDX4,Ambiguous
PI42C,Ambiguous
SYF1,Ambiguous
MCMBP,Ambiguous
2A5E,Ambiguous
MYO5A,Ambiguous
UBP40,Ambiguous
CSN4,Ambiguous
DPOD2,Ambiguous
KCC2G,Ambiguous
DCTN1,Ambiguous
AIMP1,Ambiguous
SF3A1,Ambiguous
RPR1B,Ambiguous
KDM5C,Ambiguous
CAPZB,Ambiguous
SYK,Ambiguous
PUS10,Ambiguous
BAG1,Ambiguous
RIC8A,Ambiguous
NACP1,Ambiguous
MARE1,Ambiguous
1433B,Ambiguous
SMD2,Ambiguous
EXOS4,Ambiguous
ANM1,Ambiguous
SYEP,Ambiguous
PCH2,Ambiguous
DPOE1,Ambiguous
RHG35,Ambiguous
IDH3A,Ambiguous
NOP14,Ambiguous
CAF1B,Ambiguous
GVIN1,Ambiguous
SOS1,Ambiguous
C2CD5,Ambiguous
WDR11,Ambiguous
FKB15,Ambiguous
EF1A1,Ambiguous
DHSO,Ambiguous
PYC,Ambiguous
H33,Ambiguous
CHM4B,Ambiguous
U2AF1,Ambiguous
NELFD,Ambiguous
TCPD,Ambiguous
MCM6,Ambiguous
PYR1,Ambiguous
PP2BA,Ambiguous
HNRPK,Ambiguous
DPOD3,Ambiguous
CUL4B,Ambiguous
ARP5,Ambiguous
TAOK3,Ambiguous
G3P,Ambiguous
SAHH,Ambiguous
BT3L4,Ambiguous
AQR,Ambiguous
LSM8,Ambiguous
CDK7,Ambiguous
SF3A2,Ambiguous
GRAN,Ambiguous
COQ3,Ambiguous
EFTU,Ambiguous
A1AT,Ambiguous
CSN1,Ambiguous
EXOS2,Ambiguous
BABA1,Ambiguous
TPC11,Ambiguous
VPS4A,Ambiguous
INT11,Ambiguous
REXO1,Ambiguous
1433Z,Ambiguous
ACADL,Ambiguous
SMD1,Ambiguous
KPRB,Ambiguous
NEDD8,Ambiguous
AIMP2,Ambiguous
CTBL1,Ambiguous
WASL,Ambiguous
RN214,Ambiguous
GLYM,Ambiguous
EMAL4,Ambiguous
PCCA,Ambiguous
HNRPD,Ambiguous
OGT1,Ambiguous
TPPC8,Ambiguous
ZFY16,Ambiguous
RTN3,Ambiguous
STIP1,Ambiguous
ICLN,Ambiguous
ORC5,Ambiguous
DYN2,Ambiguous
Z3H7B,Ambiguous
FEN1,Ambiguous
DGCR6,Ambiguous
GRB2,Ambiguous
PSMD4,Ambiguous
HEMH,Ambiguous
PARP1,Ambiguous
MET13,Ambiguous
TRI18,Ambiguous
CSN7B,Ambiguous
CAZA2,Ambiguous
PRS7,Ambiguous
RCC2,Ambiguous
SMC2,Ambiguous
IF4H,Ambiguous
GRPE1,Ambiguous
CDAN1,Ambiguous
PCBP2,Ambiguous
SYFB,Ambiguous
1433T,Ambiguous
CSN3,Ambiguous
IFT27,Ambiguous
SYIC,Ambiguous
TRM61,Ambiguous
CACO2,Ambiguous
TPPC3,Ambiguous
TCP4,Ambiguous
LPPRC,Ambiguous
ZN830,Ambiguous
UBP7,Ambiguous
MMS19,Ambiguous
RNH2A,Ambiguous
RBBP7,Ambiguous
NBEA,Ambiguous
FRIH,Ambiguous
HGS,Ambiguous
CYFP1,Ambiguous
U2AF2,Ambiguous
TCRG1,Ambiguous
SYRC,Ambiguous
FANCA,Ambiguous
PRS4,Ambiguous
UCHL5,Ambiguous
MCM5,Ambiguous
PRS8,Ambiguous
UFD1,Ambiguous
ATIF1,Ambiguous
PSD13,Ambiguous
PSMD2,Ambiguous
CISY,Ambiguous
PSB6,Ambiguous
PSMD1,Ambiguous
PSD12,Ambiguous
DHX15,Ambiguous
KS6B1,Ambiguous
ACADM,Ambiguous
SYQ,Ambiguous
TDR10,Ambiguous
ANM5,Ambiguous
PSDE,Ambiguous
PDIP3,Ambiguous
XRCC6,Ambiguous
CND3,Ambiguous
PSD11,Ambiguous
EFTS,Ambiguous
PRS10,Ambiguous
PSMD6,Ambiguous
ACTC,Ambiguous
SYLC,Ambiguous
PIPNA,Ambiguous
PSA4,Ambiguous
PSMD3,Ambiguous
VP33A,Ambiguous
MYL9,Ambiguous
RPP30,Ambiguous
WDR12,Ambiguous
PPIB,Ambiguous
GGA1,Ambiguous
MEP50,Ambiguous
PARN,Ambiguous
PLCG1,Ambiguous
CSN5,Ambiguous
MPPA,Ambiguous
PSMD8,Ambiguous
CSN6,Ambiguous
IDH3G,Ambiguous
PRS6A,Ambiguous
PRS6B,Ambiguous
ADRM1,Ambiguous
HDA10,Ambiguous
NPL4,Ambiguous
DC1L2,Ambiguous
PSMD7,Ambiguous
GILT,Ambiguous
STAM2,Ambiguous
MAT2B,Ambiguous
FLII,Ambiguous
P52K,Ambiguous
PSA7,Ambiguous
TERA,Ambiguous
SET,Ambiguous
CH60,Ambiguous
ATG3,Ambiguous
MCM3,Ambiguous
SUCA,Ambiguous
MMSA,Ambiguous
CDC42,Ambiguous
PFD3,Ambiguous
THG1,Ambiguous
ATPB,Ambiguous
NSF,Ambiguous
RAB10,Ambiguous
HCD2,Ambiguous
ECHM,Ambiguous
FBX17,Ambiguous
SYDC,Ambiguous
SDHA,Ambiguous
F10A1,Ambiguous
GLO2,Ambiguous
CNBP,Ambiguous
EMAL1,Ambiguous
TIM,Ambiguous
PSA2,Ambiguous
CSN2,Ambiguous
DHX16,Ambiguous
PSA5,Ambiguous
PAK2,Ambiguous
GSTK1,Ambiguous
GDS1,Ambiguous
CNDD3,Ambiguous
PSA1,Ambiguous
PYRG1,Ambiguous
TCPG,Ambiguous
TCPA,Ambiguous
PSA3,Ambiguous
GLGB,Ambiguous
PAN2,Ambiguous
TCPE,Ambiguous
NUDC1,Ambiguous
PSB5,Ambiguous
P5CS,Ambiguous
PSB2,Ambiguous
PPM1A,Ambiguous
MYLK,Ambiguous
MCM4,Ambiguous
HMGB1,Ambiguous
THIO,Ambiguous
PPIE,Ambiguous
LA,Ambiguous
CSRP2,Ambiguous
GNL1,Ambiguous
DNM1L,Ambiguous
DBNL,Ambiguous
DHR12,Ambiguous
PSA6,Ambiguous
TCPZ,Ambiguous
MAP4,Ambiguous
LYPA2,Ambiguous
TCPQ,Ambiguous
APAF,Ambiguous
CLPP,Ambiguous
DNJC7,Ambiguous
FTCD,Ambiguous
RFA1,Ambiguous
PIMT,Ambiguous
CTBP2,Ambiguous
ANM3,Ambiguous
HECD1,Ambiguous
PRP16,Ambiguous
PRDX2,Ambiguous
COF1,Ambiguous
TCPB,Ambiguous
RD23B,Ambiguous
KS6A1,Ambiguous
TIF1B,Ambiguous
CUL9,Ambiguous
PSB4,Ambiguous
HMGB2,Ambiguous
DYHC1,Ambiguous
RTL1,Ambiguous
DREB,Ambiguous
ACD10,Ambiguous
TCPH,Ambiguous
MSTO1,Ambiguous
PUR2,Ambiguous
HUWE1,Ambiguous
ANXA7,Ambiguous
PLST,Ambiguous
IMDH2,Ambiguous
MDN1,Ambiguous
CAP1,Ambiguous
FKBP3,Ambiguous
RIR2,Ambiguous
VMA5A,Ambiguous
EF1G,Ambiguous
TAGL2,Ambiguous
TPM4,Ambiguous
MYG1,Ambiguous
PRI1,Ambiguous
PSB7,Ambiguous
SUCB1,Ambiguous
TES,Ambiguous
RAB5C,Ambiguous
EF1B,Ambiguous
NSF1C,Ambiguous
ACLY,Ambiguous
ASF1A,Ambiguous
RIR1,Ambiguous
EF1D,Ambiguous
GRP78,Ambiguous
CPNS1,Ambiguous
NIPA,Ambiguous
TDRD9,Ambiguous
BPL1,Ambiguous
LOXE3,Ambiguous
UBP5,Ambiguous
IMDH1,Ambiguous
PSMF1,Ambiguous
ODPB,Ambiguous
RAB5B,Ambiguous
SYFA,Ambiguous
HBA,Ambiguous
STMN1,Ambiguous
CBR1,Ambiguous
UBE2N,Ambiguous
R3HC1,Ambiguous
DNLI1,Ambiguous
CYBP,Ambiguous
EDC4,Ambiguous
GRHPR,Ambiguous
ITLN2,Ambiguous
PSB3,Ambiguous
MYH9,Ambiguous
2A5A,Ambiguous
HBAZ,Ambiguous
PSB1,Ambiguous
CAND1,Ambiguous
VATA,Ambiguous
C1QBP,Ambiguous
NUBP1,Ambiguous
SYVC,Ambiguous
SLD5,Ambiguous
MCM2,Ambiguous
CAN1,Ambiguous
ZP4,Ambiguous
MPPB,Ambiguous
BCDO2,Ambiguous
NANP,Ambiguous
PACN2,Ambiguous
PRUNE,Ambiguous
IPP2,Ambiguous
FETUB,Ambiguous
NTAN1,Ambiguous
AUHM,Ambiguous
NCOAT,Ambiguous
ATG4A,Ambiguous
ITPA,Ambiguous
ODBA,Ambiguous
CPSF5,Ambiguous
TPD52,Ambiguous
SUCHY,Ambiguous
ARFP1,Ambiguous
DUS23,Ambiguous
DD19B,Ambiguous
CC104,Ambiguous
SETD3,Ambiguous
NFU1,Ambiguous
RHG17,Ambiguous
BLVRB,Ambiguous
PURA1,Ambiguous
TRFL,Ambiguous
TCEA1,Ambiguous
SAT2,Ambiguous
DUS3L,Ambiguous
COMD6,Ambiguous
LAGE3,Ambiguous
LANC2,Ambiguous
1433G,Ambiguous
KAD6,Ambiguous
HACL1,Ambiguous
SMYD3,Ambiguous
SHLB1,Ambiguous
HNRPU,Ambiguous
NAA40,Ambiguous
UBL7,Ambiguous
MOC2B,Ambiguous
ODP2,Ambiguous
CHIP,Ambiguous
UCK2,Ambiguous
ATPD,Ambiguous
RM30,Ambiguous
USO1,Ambiguous
ZN277,Ambiguous
SETD6,Ambiguous
VPS16,Ambiguous
L2GL1,Ambiguous
PUS7,Ambiguous
DPH6,Ambiguous
SYVM,Ambiguous
CAP2,Ambiguous
PRRC1,Ambiguous
PDIP2,Ambiguous
ALKB1,Ambiguous
MMAB,Ambiguous
SPRY7,Ambiguous
CE022,Ambiguous
OVOS2,Ambiguous
RSPH9,Ambiguous
RAE1,Ambiguous
GAS7,Ambiguous
TIGAR,Ambiguous
TRM1,Ambiguous
NH2L1,Ambiguous
MB12B,Ambiguous
RAE2,Ambiguous
MESH1,Ambiguous
HMCS1,Ambiguous
SARNP,Ambiguous
LUM,Ambiguous
ASML,Ambiguous
PHF5A,Ambiguous
8ODP,Ambiguous
GSHB,Ambiguous
PAR14,Ambiguous
DPOE2,Ambiguous
DUS19,Ambiguous
GRAP1,Ambiguous
FBX22,Ambiguous
CLIC4,Ambiguous
TRAP1,Ambiguous
CRP,Ambiguous
VCIP1,Ambiguous
TP4A2,Ambiguous
ZYX,Ambiguous
RM37,Ambiguous
HYI,Ambiguous
RAB21,Ambiguous
PZP,Ambiguous
DYM,Ambiguous
PAPOA,Ambiguous
ZP2,Ambiguous
UBE2C,Ambiguous
PSME4,Ambiguous
UB2V2,Ambiguous
MCEE,Ambiguous
M2GD,Ambiguous
CCD43,Ambiguous
ARPIN,Ambiguous
NAMPT,Ambiguous
MON2,Ambiguous
THUM1,Ambiguous
RAB9A,Ambiguous
MET18,Ambiguous
LHPP,Ambiguous
LC7L3,Ambiguous
NDUF3,Ambiguous
IN80C,Ambiguous
CS060,Ambiguous
BACH,Ambiguous
PP2BC,Ambiguous
TOPK,Ambiguous
PANK4,Ambiguous
SEHL2,Ambiguous
GTDC1,Ambiguous
TM1L2,Ambiguous
CSRP1,Ambiguous
NCKP1,Ambiguous
ODPX,Ambiguous
RM49,Ambiguous
HSP72,Ambiguous
STK38,Ambiguous
CNN3,Ambiguous
VLDLR,Ambiguous
HOP2,Ambiguous
UBE4B,Ambiguous
ANR27,Ambiguous
PFD1,Ambiguous
F188A,Ambiguous
SURF2,Ambiguous
TP8L3,Ambiguous
SNX27,Ambiguous
ATP5S,Ambiguous
PAP1L,Ambiguous
SELO,Ambiguous
KPBB,Ambiguous
PMGE,Ambiguous
FUK,Ambiguous
NUDC3,Ambiguous
ARL8B,Ambiguous
UBE2Z,Ambiguous
ST1B1,Ambiguous
DCNL2,Ambiguous
CHK2,Ambiguous
GGT1,Ambiguous
KGUA,Ambiguous
SEN34,Ambiguous
SYDM,Ambiguous
UBR1,Ambiguous
TRM5,Ambiguous
FKB10,Ambiguous
UBE4A,Ambiguous
FAIM1,Ambiguous
KIF5C,Ambiguous
HS90A,Ambiguous
KPCD,Ambiguous
BRE1A,Ambiguous
PPWD1,Ambiguous
DEK,Ambiguous
WDR91,Ambiguous
DCNL5,Ambiguous
SYYM,Ambiguous
